Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
PP,Producer Prices - Annual,7,Angola,5530,Producer Price (LCU/tonne),572,Avocados,2010,2010,LCU,68500,,Official data
PP,Producer Prices - Annual,7,Angola,5530,Producer Price (LCU/tonne),572,Avocados,2011,2011,LCU,66900,,Official data
PP,Producer Prices - Annual,7,Angola,5530,Producer Price (LCU/tonne),572,Avocados,2012,2012,LCU,49000,,Official data
PP,Producer Prices - Annual,7,Angola,5530,Producer Price (LCU/tonne),572,Avocados,2013,2013,LCU,68290,,Official data
PP,Producer Prices - Annual,7,Angola,5530,Producer Price (LCU/tonne),572,Avocados,2014,2014,LCU,68210,,Official data
PP,Producer Prices - Annual,7,Angola,5530,Producer Price (LCU/tonne),656,"Coffee, green",2010,2010,LCU,47000,,Official data
PP,Producer Prices - Annual,7,Angola,5530,Producer Price (LCU/tonne),656,"Coffee, green",2011,2011,LCU,66000,,Official data
PP,Producer Prices - Annual,7,Angola,5531,Producer Price (SLC/tonne),572,Avocados,2010,2010,SLC,68500,,Official data
PP,Producer Prices - Annual,7,Angola,5531,Producer Price (SLC/tonne),572,Avocados,2011,2011,SLC,66900,,Official data
PP,Producer Prices - Annual,7,Angola,5531,Producer Price (SLC/tonne),572,Avocados,2012,2012,SLC,49000,,Official data
PP,Producer Prices - Annual,7,Angola,5531,Producer Price (SLC/tonne),572,Avocados,2013,2013,SLC,68290,,Official data
PP,Producer Prices - Annual,7,Angola,5531,Producer Price (SLC/tonne),572,Avocados,2014,2014,SLC,68210,,Official data
PP,Producer Prices - Annual,7,Angola,5531,Producer Price (SLC/tonne),656,"Coffee, green",2010,2010,SLC,47000,,Official data
PP,Producer Prices - Annual,7,Angola,5531,Producer Price (SLC/tonne),656,"Coffee, green",2011,2011,SLC,66000,,Official data
PP,Producer Prices - Annual,7,Angola,5532,Producer Price (USD/tonne),572,Avocados,2010,2010,USD,745.4565241,,Official data
PP,Producer Prices - Annual,7,Angola,5532,Producer Price (USD/tonne),572,Avocados,2011,2011,USD,713.7522672,,Official data
PP,Producer Prices - Annual,7,Angola,5532,Producer Price (USD/tonne),572,Avocados,2012,2012,USD,513.2502357,,Official data
PP,Producer Prices - Annual,7,Angola,5532,Producer Price (USD/tonne),572,Avocados,2013,2013,USD,707.5632903,,Official data
PP,Producer Prices - Annual,7,Angola,5532,Producer Price (USD/tonne),572,Avocados,2014,2014,USD,694.021486,,Official data
PP,Producer Prices - Annual,7,Angola,5532,Producer Price (USD/tonne),656,"Coffee, green",2010,2010,USD,511.4811187,,Official data
PP,Producer Prices - Annual,7,Angola,5532,Producer Price (USD/tonne),656,"Coffee, green",2011,2011,USD,704.1502187,,Official data
PP,Producer Prices - Annual,10,Australia,5530,Producer Price (LCU/tonne),572,Avocados,1997,1997,LCU,2100,,Official data
PP,Producer Prices - Annual,10,Australia,5530,Producer Price (LCU/tonne),572,Avocados,1998,1998,LCU,2270,,Official data
PP,Producer Prices - Annual,10,Australia,5530,Producer Price (LCU/tonne),572,Avocados,1999,1999,LCU,2130,,Official data
PP,Producer Prices - Annual,10,Australia,5530,Producer Price (LCU/tonne),572,Avocados,2000,2000,LCU,2300,,Official data
PP,Producer Prices - Annual,10,Australia,5530,Producer Price (LCU/tonne),572,Avocados,2001,2001,LCU,1940,,Official data
PP,Producer Prices - Annual,10,Australia,5530,Producer Price (LCU/tonne),572,Avocados,2002,2002,LCU,2420,,Official data
PP,Producer Prices - Annual,10,Australia,5530,Producer Price (LCU/tonne),572,Avocados,2003,2003,LCU,2270,,Official data
PP,Producer Prices - Annual,10,Australia,5530,Producer Price (LCU/tonne),572,Avocados,2004,2004,LCU,2470,,Official data
PP,Producer Prices - Annual,10,Australia,5530,Producer Price (LCU/tonne),572,Avocados,2005,2005,LCU,2770,,Official data
PP,Producer Prices - Annual,10,Australia,5530,Producer Price (LCU/tonne),572,Avocados,2006,2006,LCU,2370,,Official data
PP,Producer Prices - Annual,10,Australia,5530,Producer Price (LCU/tonne),572,Avocados,2007,2007,LCU,2610,,Official data
PP,Producer Prices - Annual,10,Australia,5530,Producer Price (LCU/tonne),572,Avocados,2008,2008,LCU,2730,F,FAO estimate
PP,Producer Prices - Annual,10,Australia,5530,Producer Price (LCU/tonne),572,Avocados,2009,2009,LCU,2850,,Official data
PP,Producer Prices - Annual,10,Australia,5530,Producer Price (LCU/tonne),572,Avocados,2010,2010,LCU,2875,F,FAO estimate
PP,Producer Prices - Annual,10,Australia,5530,Producer Price (LCU/tonne),572,Avocados,2011,2011,LCU,2900,,Official data
PP,Producer Prices - Annual,10,Australia,5530,Producer Price (LCU/tonne),572,Avocados,2012,2012,LCU,2580,,Official data
